id;Serial ;Event ;Provincia ;Cantón ;Distrito ;Date ;Location ;Deaths ;Injured ;Missing ;Houses Destroyed ;Houses Damaged ;Directly affected ;Indirectly Affected ;Relocated ;Evacuated ;Losses $USD ;Losses $Local ;Education centers ;Hospitals ;Damages in crops Ha. ;Lost Cattle ;Damages in roads Mts ;GLIDEnumber ;Comments
1;1981-30;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;5/7/1981;  ;;;;;;;;;;0;0;;;;0;;;Ver ficha adjunta No.13 
2;1988-147;SPATE; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;4/11/1988;  ;;;;;;;;;;0;0;;;;0;;;
3;1990-116;FIRE; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;22/8/1990;  ;1;;;2;;;;;;0;0;;;;0;;;
4;1990-136;FIRE; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;12/11/1990;  ;;;;1;;;;;;0;0;;;;0;;;
5;1999-364;LANDSLIDE; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;18/10/1999;  ;;;;;1;;;;;0;0;;;;0;;;
6;2000-165;LANDSLIDE; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;7/8/2000; Barrio Las Tablas ;;;;;7;;;;;0;0;;;;0;;;Fuente no identifica número de daminificados ni de personas evacaudas y albergadas en casa de familiares. 
7;2000-245;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;21/9/2000; De la Cruz Roja 100 este y 150 sureste ;;;;;;;;;;0;0;;;;0;;;Fuente no especifica número de daminificados. 
8;2001-280;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;21/10/2001;  ;;;;;;;;;;0;0;;;;0;;;
9;2003-256;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;29/8/2003; La Paz ;;;;;;;;;;0;0;;;;0;;;Dato sobre viviendas anegadas no disponible 
10;2003-294;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;15/9/2003;  ;;;;;;;;;;0;0;;;;0;;;Fuente no especifica número de viviendas anegadas 
11;2003-317;LANDSLIDE; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;24/9/2003; Precario Calabacitas ;;;;;2;;;;;0;0;;;;0;;;
12;2003-340;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;6/10/2003; Barrio El Arenal ;;;;;;;;;;0;0;;;;0;;;
13;2003-339;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;6/10/2003;  ;;;;4;;16;;;;0;0;;;;0;;;"La cantidad de damnificados se pondera a partir del promedio nacional de habitantes por vivienda individual ocupada según Censo 2011; INEC. "
14;2003-349;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;7/10/2003; Urbnz. San Diego ;;;;;7;43;;;;0;0;;;;0;;;
15;2003-493;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;5/11/2003; Robles ;;;;;;;;;;0;0;;;;0;;;
16;2003-509;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;12/11/2003; Linda Vista ;;;;;;;;;;0;0;;;;0;;;
17;2004-166;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;24/5/2004;  ;;;;;;;;;;0;0;;;;0;;;Sin identificar número exacto de viviendas anegadas. 
18;2004-167;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;24/5/2004;  ;;;;;;;;;;0;0;;;;0;;;
19;2004-559;FIRE; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/10/2004; San Juan de Dios ;;;;7;1;32;;;;0;0;;;;0;;;7 viviendas quemadas en forma total y una parcial 
20;2004-618;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;26/10/2004; San Juan de Dios detras de la Cruz Roja ;;;;;;;;;;0;0;;;;0;;;Varias casas inundadas 
21;2004-653;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;4/11/2004; Barrio Fusilera. ;;;;;3;11;;;;0;0;;;;0;;;
22;2005-254;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/6/2005; 25 SO de antiguo cine Victoria c. Pedrito Monge ;;;;;1;;;;;0;0;;;;0;;;Una persona atrapada en la vivienda inundada 
23;2005-264;RAIN; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/6/2005; De Pulpería Novedades 25 S y 200 O ;;;;;1;;;;;0;0;;;;0;;;
24;2005-255;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/6/2005; De los Tanques 75 S ;;;;;2;;;;;0;0;;;;0;;;
25;2005-251;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/6/2005; De la plaza 200 E y 100 S casa roja ;;;;;1;;;;;0;0;;;;0;;;
26;2005-252;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/6/2005;  ;;;;;;;;;;0;0;;;;0;;;
27;2005-253;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/6/2005; Bº Tolima contiguo a Alternadores Sequeira ;;;;;2;;;;;0;0;;;;0;;;
28;2005-300;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;24/6/2005; De la plaza 100 S ;;;;;;;;;;0;0;;;;0;;;
29;2006-88;STRUCTURE; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;4/6/2006; asentamiento informal 1° de Mayo ;;;;;;;;;;0;0;;;;0;;;
30;2006-284;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/8/2006;  ;;;;;2;;;;;0;0;;;;0;;;
31;2006-289;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;19/8/2006;  ;;;;;4;;;;;0;0;;;;0;;;
32;2006-335;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;9/9/2006; Asentamiento 1 de mayo ;;;;;5;;;;;0;0;;;;0;;;
33;2006-357;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;16/9/2006; urbnización Itaipú ;;;;;3;;;;;0;0;;;;0;;;
34;2006-422;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;18/9/2006; San Juan de Dios Cruz Roja Barrio Maiquetía El Molino  ;;;;;5;;;;;0;0;;;;0;;;
35;2007-119;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;15/5/2007; San Juan de Dios ;;;;;2;;;;;0;0;;;;0;;;INUNDACIONES POR DESBORDAMIENTO DE UNA ACEQUIA EN SAN JUAN DE DIOS DE DESAMPARADOS HAY 2 VIVIENDAS AFECTADAS 
36;2007-183;LANDSLIDE; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;23/5/2007; San Juan de Dios ;;;;;1;;;;;0;0;;;;0;;;1 VIVIENDA AFECTADA POR DESLIZAMIENTO EN SAN JUAN DE DIOS DE DESAMPARADOS 
37;2007-194;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;23/5/2007; San Juan de Dios ;;;;;1;;;;;0;0;;;;0;;;INUNDACION POR DESBORDAMIENTO DEL RIO CAÑAS EN SAN JUAN DE DIOS DE DESAMPARADOS 1 VIVIENDA PARCIALMENTE DESTRUIDA 
38;2007-193;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;23/5/2007; San Juan de Dios ;;;;;1;;;;;0;0;;;;0;;;1 VIVIENDA INUNDADA EN SAN JUAN DE DIOS DE DESAMPARADOS 
39;2007-192;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;23/5/2007; Calle del Río de San Juan de Dios ;;;;;6;;;;;0;0;;;;0;;;INUNDACIONES EN EL SECTOR DE SAN JUAN DE DIOS DE DESAMPARADOS CALLE DEL RIO HAY 2 VIVIENDAS AFECTADAS TOTALMENTE Y 4 ANEGADAS 
40;2007-847;LANDSLIDE; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;4/9/2007; Puente Cañas ;;;;;;;;;;0;0;;;;0;;;DESLIZAMIENTO SOBRE EL RIO Y EL PUENTE CAÑAS EN DESAMPARADOS SAN JUAN DE DIOS SE ESTIMA QUE MIDE 20 METROS DE ALTO POR 40 DE ANCHO 
41;2007-941;LANDSLIDE; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;19/9/2007; Urb. Villa Fuerte ;;;;;13;;;;;0;0;;;;0;;;DESLIZAMIENTO EN SAN JUAN DE DIOS DE DESAMPARADOS URBANIZACION VILLA FUERTE HAY 12 CASAS CON DAÑOS PARCIALES Y UNA CON UN 60% DE DAÑOS. 
42;2007-940;LANDSLIDE; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;19/9/2007; San Juan de Dios ;;;;;;;;;;0;0;;;;0;;;DESLIZAMIENTO EN SAN JUAN DE DIOS HAY UNA IGLESIA AFECTADA 
43;2007-966;LANDSLIDE; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;21/9/2007; 1 de Mayo ;;;;;1;;;;;0;0;;;;0;;;DESLIZAMIENTO EN SAN JUAN DE DIOS DE DESAMPARADOS EN EL ASENTAMIENTO 1 DE MAYO HAY UNA VIVIENDA DAÑADA 
44;2007-1048;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;7/10/2007; San Juan de Dios ;;;;;1;;;;;0;0;;;;0;;;INUNDACION EN SAN JUAN DE DIOS DE DESAMPARADOS 1 CASA INUNDADA POR DESBORDAMIENTO DEBIDO A TAPONAMIENTO DEL RIO 
45;2007-1051;RAIN; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;9/10/2007; Calle Durán ;;;;;13;;;;;0;0;;;;0;;;COLAPSO DE MURO EN EL SECTOR DE CALLE DEL RIO O CALLE DURAN DE SAN JUAN DE DIOS DE DESAMPARADOS HAY 13 CASAS AFECTADAS 
46;2007-1270;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;10/10/2007; San Juan de Dios ;;;;;6;30;;;30;0;0;;;;0;;;
47;2008-58;FIRE; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;10/3/2008; Sector de Maiquetia en San Juan de Dios ;;;;3;1;16;;;;0;0;;;;0;;;"La cantidad de damnificados se pondera a partir del promedio nacional de habitantes por vivienda individual ocupada según Censo 2000; INEC. "
48;2008-96;STRUCTURE; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;6/4/2008; Precario 1ro de Mayo ;;;;1;;4;;;;0;0;;;;0;;;1 VIVIENDA DESTRUIDA POR CAIDA DE ARBOL EN SAN JUAN DE DIOS DE DESAMPARADOS PRECARIO 1ERO DE MAYO // La cantidad de damnificados se pondera a partir [...] 
49;2008-92;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;6/4/2008; San Juan de Dios ;;;;;;;;;;0;0;;;;0;;;INUNDACIONES EN DESAMPARADOS SAN JUAN DE DIOS VARIAS CASAS AFECTADAS// 
50;2008-94;STRONGWIND; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;6/4/2008;  ;;;;;;;;;;0;0;;;;0;;;FUERTES VIENTOS CON GRANIZADAS EN DESAMPARADOS SAN JUAN DE DIOS VARIAS VIVIENDAS AFECTADAS Y PERSONAS ATRAPADAS // 
